Sex,Race/Ethnicity,Age,Stage at Diagnosis,Rate Type,Year,"Age-adjusted (AA) Rate per 100,000"
Both Sexes,All Races (includes Hispanic),Ages 50-64,All Stages,Observed Rates,2000,893.8788
Both Sexes,All Races (includes Hispanic),Ages 50-64,All Stages,Observed Rates,2001,896.0233
Both Sexes,All Races (includes Hispanic),Ages 50-64,All Stages,Observed Rates,2002,892.7842
Both Sexes,All Races (includes Hispanic),Ages 50-64,All Stages,Observed Rates,2003,858.0691
Both Sexes,All Races (includes Hispanic),Ages 50-64,All Stages,Observed Rates,2004,856.7428
Both Sexes,All Races (includes Hispanic),Ages 50-64,All Stages,Observed Rates,2005,848.8136
Both Sexes,All Races (includes Hispanic),Ages 50-64,All Stages,Observed Rates,2006,863.1735
Both Sexes,All Races (includes Hispanic),Ages 50-64,All Stages,Observed Rates,2007,875.8418
Both Sexes,All Races (includes Hispanic),Ages 50-64,All Stages,Observed Rates,2008,866.7747
Both Sexes,All Races (includes Hispanic),Ages 50-64,All Stages,Observed Rates,2009,861.3378
Both Sexes,All Races (includes Hispanic),Ages 50-64,All Stages,Observed Rates,2010,833.3412
Both Sexes,All Races (includes Hispanic),Ages 50-64,All Stages,Observed Rates,2011,835.4392
Both Sexes,All Races (includes Hispanic),Ages 50-64,All Stages,Observed Rates,2012,811.1324
Both Sexes,All Races (includes Hispanic),Ages 50-64,All Stages,Observed Rates,2013,805.2555
Both Sexes,All Races (includes Hispanic),Ages 50-64,All Stages,Observed Rates,2014,809.6839
Both Sexes,All Races (includes Hispanic),Ages 50-64,All Stages,Observed Rates,2015,809.6037
Both Sexes,All Races (includes Hispanic),Ages 50-64,All Stages,Observed Rates,2016,803.9064
Both Sexes,All Races (includes Hispanic),Ages 50-64,All Stages,Observed Rates,2017,792.1329
Both Sexes,All Races (includes Hispanic),Ages 65+,All Stages,Observed Rates,2000,2260.2123
Both Sexes,All Races (includes Hispanic),Ages 65+,All Stages,Observed Rates,2001,2259.3072
Both Sexes,All Races (includes Hispanic),Ages 65+,All Stages,Observed Rates,2002,2244.9864
Both Sexes,All Races (includes Hispanic),Ages 65+,All Stages,Observed Rates,2003,2186.3071
Both Sexes,All Races (includes Hispanic),Ages 65+,All Stages,Observed Rates,2004,2185.7842
Both Sexes,All Races (includes Hispanic),Ages 65+,All Stages,Observed Rates,2005,2171.8275
Both Sexes,All Races (includes Hispanic),Ages 65+,All Stages,Observed Rates,2006,2192.9699
Both Sexes,All Races (includes Hispanic),Ages 65+,All Stages,Observed Rates,2007,2210.6309
Both Sexes,All Races (includes Hispanic),Ages 65+,All Stages,Observed Rates,2008,2179.5345
Both Sexes,All Races (includes Hispanic),Ages 65+,All Stages,Observed Rates,2009,2156.4417
Both Sexes,All Races (includes Hispanic),Ages 65+,All Stages,Observed Rates,2010,2100.4247
Both Sexes,All Races (includes Hispanic),Ages 65+,All Stages,Observed Rates,2011,2087.5059
Both Sexes,All Races (includes Hispanic),Ages 65+,All Stages,Observed Rates,2012,2021.9359
Both Sexes,All Races (includes Hispanic),Ages 65+,All Stages,Observed Rates,2013,2002.1091
Both Sexes,All Races (includes Hispanic),Ages 65+,All Stages,Observed Rates,2014,1966.7346
Both Sexes,All Races (includes Hispanic),Ages 65+,All Stages,Observed Rates,2015,1965.154
Both Sexes,All Races (includes Hispanic),Ages 65+,All Stages,Observed Rates,2016,1945.0331
Both Sexes,All Races (includes Hispanic),Ages 65+,All Stages,Observed Rates,2017,1910.2625
Both Sexes,All Races (includes Hispanic),Ages <15,All Stages,Observed Rates,2000,15.1058
Both Sexes,All Races (includes Hispanic),Ages <15,All Stages,Observed Rates,2001,15.9512
Both Sexes,All Races (includes Hispanic),Ages <15,All Stages,Observed Rates,2002,15.5643
Both Sexes,All Races (includes Hispanic),Ages <15,All Stages,Observed Rates,2003,14.7305
Both Sexes,All Races (includes Hispanic),Ages <15,All Stages,Observed Rates,2004,15.7651
Both Sexes,All Races (includes Hispanic),Ages <15,All Stages,Observed Rates,2005,15.7005
Both Sexes,All Races (includes Hispanic),Ages <15,All Stages,Observed Rates,2006,15.5284
Both Sexes,All Races (includes Hispanic),Ages <15,All Stages,Observed Rates,2007,16.2962
Both Sexes,All Races (includes Hispanic),Ages <15,All Stages,Observed Rates,2008,16.2763
Both Sexes,All Races (includes Hispanic),Ages <15,All Stages,Observed Rates,2009,16.61
Both Sexes,All Races (includes Hispanic),Ages <15,All Stages,Observed Rates,2010,16.4767
Both Sexes,All Races (includes Hispanic),Ages <15,All Stages,Observed Rates,2011,16.4523
Both Sexes,All Races (includes Hispanic),Ages <15,All Stages,Observed Rates,2012,16.2359
Both Sexes,All Races (includes Hispanic),Ages <15,All Stages,Observed Rates,2013,16.642
Both Sexes,All Races (includes Hispanic),Ages <15,All Stages,Observed Rates,2014,16.9284
Both Sexes,All Races (includes Hispanic),Ages <15,All Stages,Observed Rates,2015,17.3244
Both Sexes,All Races (includes Hispanic),Ages <15,All Stages,Observed Rates,2016,16.7277
Both Sexes,All Races (includes Hispanic),Ages <15,All Stages,Observed Rates,2017,16.3906
Both Sexes,All Races (includes Hispanic),Ages 15-39,All Stages,Observed Rates,2000,65.9423
Both Sexes,All Races (includes Hispanic),Ages 15-39,All Stages,Observed Rates,2001,67.1338
Both Sexes,All Races (includes Hispanic),Ages 15-39,All Stages,Observed Rates,2002,67.3274
Both Sexes,All Races (includes Hispanic),Ages 15-39,All Stages,Observed Rates,2003,67.3512
Both Sexes,All Races (includes Hispanic),Ages 15-39,All Stages,Observed Rates,2004,68.6831
Both Sexes,All Races (includes Hispanic),Ages 15-39,All Stages,Observed Rates,2005,70.1878
Both Sexes,All Races (includes Hispanic),Ages 15-39,All Stages,Observed Rates,2006,69.3796
Both Sexes,All Races (includes Hispanic),Ages 15-39,All Stages,Observed Rates,2007,70.9532
Both Sexes,All Races (includes Hispanic),Ages 15-39,All Stages,Observed Rates,2008,73.1596
Both Sexes,All Races (includes Hispanic),Ages 15-39,All Stages,Observed Rates,2009,72.6542
Both Sexes,All Races (includes Hispanic),Ages 15-39,All Stages,Observed Rates,2010,71.5518
Both Sexes,All Races (includes Hispanic),Ages 15-39,All Stages,Observed Rates,2011,73.0692
Both Sexes,All Races (includes Hispanic),Ages 15-39,All Stages,Observed Rates,2012,74.2104
Both Sexes,All Races (includes Hispanic),Ages 15-39,All Stages,Observed Rates,2013,73.6489
Both Sexes,All Races (includes Hispanic),Ages 15-39,All Stages,Observed Rates,2014,75.8092
Both Sexes,All Races (includes Hispanic),Ages 15-39,All Stages,Observed Rates,2015,76.6908
Both Sexes,All Races (includes Hispanic),Ages 15-39,All Stages,Observed Rates,2016,76.982
Both Sexes,All Races (includes Hispanic),Ages 15-39,All Stages,Observed Rates,2017,74.42
Both Sexes,All Races (includes Hispanic),Ages 40-64,All Stages,Observed Rates,2000,582.8576
Both Sexes,All Races (includes Hispanic),Ages 40-64,All Stages,Observed Rates,2001,584.6626
Both Sexes,All Races (includes Hispanic),Ages 40-64,All Stages,Observed Rates,2002,582.1033
Both Sexes,All Races (includes Hispanic),Ages 40-64,All Stages,Observed Rates,2003,565.8013
Both Sexes,All Races (includes Hispanic),Ages 40-64,All Stages,Observed Rates,2004,567.7211
Both Sexes,All Races (includes Hispanic),Ages 40-64,All Stages,Observed Rates,2005,564.6813
Both Sexes,All Races (includes Hispanic),Ages 40-64,All Stages,Observed Rates,2006,573.2706
Both Sexes,All Races (includes Hispanic),Ages 40-64,All Stages,Observed Rates,2007,580.3995
Both Sexes,All Races (includes Hispanic),Ages 40-64,All Stages,Observed Rates,2008,577.2993
Both Sexes,All Races (includes Hispanic),Ages 40-64,All Stages,Observed Rates,2009,575.8228
Both Sexes,All Races (includes Hispanic),Ages 40-64,All Stages,Observed Rates,2010,557.6622
Both Sexes,All Races (includes Hispanic),Ages 40-64,All Stages,Observed Rates,2011,559.8639
Both Sexes,All Races (includes Hispanic),Ages 40-64,All Stages,Observed Rates,2012,546.8691
Both Sexes,All Races (includes Hispanic),Ages 40-64,All Stages,Observed Rates,2013,543.2243
Both Sexes,All Races (includes Hispanic),Ages 40-64,All Stages,Observed Rates,2014,545.4826
Both Sexes,All Races (includes Hispanic),Ages 40-64,All Stages,Observed Rates,2015,545.9708
Both Sexes,All Races (includes Hispanic),Ages 40-64,All Stages,Observed Rates,2016,539.7586
Both Sexes,All Races (includes Hispanic),Ages 40-64,All Stages,Observed Rates,2017,535.195
Both Sexes,All Races (includes Hispanic),Ages 65-74,All Stages,Observed Rates,2000,2054.6796
Both Sexes,All Races (includes Hispanic),Ages 65-74,All Stages,Observed Rates,2001,2054.325
Both Sexes,All Races (includes Hispanic),Ages 65-74,All Stages,Observed Rates,2002,2029.9328
Both Sexes,All Races (includes Hispanic),Ages 65-74,All Stages,Observed Rates,2003,1963.6974
Both Sexes,All Races (includes Hispanic),Ages 65-74,All Stages,Observed Rates,2004,1952.3387
Both Sexes,All Races (includes Hispanic),Ages 65-74,All Stages,Observed Rates,2005,1933.9892
Both Sexes,All Races (includes Hispanic),Ages 65-74,All Stages,Observed Rates,2006,1973.1844
Both Sexes,All Races (includes Hispanic),Ages 65-74,All Stages,Observed Rates,2007,2003.7796
Both Sexes,All Races (includes Hispanic),Ages 65-74,All Stages,Observed Rates,2008,1960.331
Both Sexes,All Races (includes Hispanic),Ages 65-74,All Stages,Observed Rates,2009,1946.0506
Both Sexes,All Races (includes Hispanic),Ages 65-74,All Stages,Observed Rates,2010,1897.7748
Both Sexes,All Races (includes Hispanic),Ages 65-74,All Stages,Observed Rates,2011,1895.26
Both Sexes,All Races (includes Hispanic),Ages 65-74,All Stages,Observed Rates,2012,1819.7477
Both Sexes,All Races (includes Hispanic),Ages 65-74,All Stages,Observed Rates,2013,1795.0934
Both Sexes,All Races (includes Hispanic),Ages 65-74,All Stages,Observed Rates,2014,1752.0788
Both Sexes,All Races (includes Hispanic),Ages 65-74,All Stages,Observed Rates,2015,1761.5845
Both Sexes,All Races (includes Hispanic),Ages 65-74,All Stages,Observed Rates,2016,1748.0053
Both Sexes,All Races (includes Hispanic),Ages 65-74,All Stages,Observed Rates,2017,1733.0432
Both Sexes,All Races (includes Hispanic),Ages 75+,All Stages,Observed Rates,2000,2485.1096
Both Sexes,All Races (includes Hispanic),Ages 75+,All Stages,Observed Rates,2001,2483.6022
Both Sexes,All Races (includes Hispanic),Ages 75+,All Stages,Observed Rates,2002,2480.3017
Both Sexes,All Races (includes Hispanic),Ages 75+,All Stages,Observed Rates,2003,2429.8903
Both Sexes,All Races (includes Hispanic),Ages 75+,All Stages,Observed Rates,2004,2441.2242
Both Sexes,All Races (includes Hispanic),Ages 75+,All Stages,Observed Rates,2005,2432.0742
Both Sexes,All Races (includes Hispanic),Ages 75+,All Stages,Observed Rates,2006,2433.4629
Both Sexes,All Races (includes Hispanic),Ages 75+,All Stages,Observed Rates,2007,2436.9712
Both Sexes,All Races (includes Hispanic),Ages 75+,All Stages,Observed Rates,2008,2419.3907
Both Sexes,All Races (includes Hispanic),Ages 75+,All Stages,Observed Rates,2009,2386.6553
Both Sexes,All Races (includes Hispanic),Ages 75+,All Stages,Observed Rates,2010,2322.1677
Both Sexes,All Races (includes Hispanic),Ages 75+,All Stages,Observed Rates,2011,2297.8645
Both Sexes,All Races (includes Hispanic),Ages 75+,All Stages,Observed Rates,2012,2243.1736
Both Sexes,All Races (includes Hispanic),Ages 75+,All Stages,Observed Rates,2013,2228.6291
Both Sexes,All Races (includes Hispanic),Ages 75+,All Stages,Observed Rates,2014,2201.6146
Both Sexes,All Races (includes Hispanic),Ages 75+,All Stages,Observed Rates,2015,2187.9032
Both Sexes,All Races (includes Hispanic),Ages 75+,All Stages,Observed Rates,2016,2160.6243
Both Sexes,All Races (includes Hispanic),Ages 75+,All Stages,Observed Rates,2017,2104.1789
Both Sexes,All Races (includes Hispanic),Ages < 20,All Stages,Observed Rates,2000,16.4459
Both Sexes,All Races (includes Hispanic),Ages < 20,All Stages,Observed Rates,2001,17.2762
Both Sexes,All Races (includes Hispanic),Ages < 20,All Stages,Observed Rates,2002,17.1764
Both Sexes,All Races (includes Hispanic),Ages < 20,All Stages,Observed Rates,2003,16.3175
Both Sexes,All Races (includes Hispanic),Ages < 20,All Stages,Observed Rates,2004,17.3342
Both Sexes,All Races (includes Hispanic),Ages < 20,All Stages,Observed Rates,2005,17.2933
Both Sexes,All Races (includes Hispanic),Ages < 20,All Stages,Observed Rates,2006,17.0296
Both Sexes,All Races (includes Hispanic),Ages < 20,All Stages,Observed Rates,2007,17.6562
Both Sexes,All Races (includes Hispanic),Ages < 20,All Stages,Observed Rates,2008,17.8172
Both Sexes,All Races (includes Hispanic),Ages < 20,All Stages,Observed Rates,2009,18.1775
Both Sexes,All Races (includes Hispanic),Ages < 20,All Stages,Observed Rates,2010,17.729
Both Sexes,All Races (includes Hispanic),Ages < 20,All Stages,Observed Rates,2011,18.1218
Both Sexes,All Races (includes Hispanic),Ages < 20,All Stages,Observed Rates,2012,18.2117
Both Sexes,All Races (includes Hispanic),Ages < 20,All Stages,Observed Rates,2013,18.2263
Both Sexes,All Races (includes Hispanic),Ages < 20,All Stages,Observed Rates,2014,18.755
Both Sexes,All Races (includes Hispanic),Ages < 20,All Stages,Observed Rates,2015,19.3143
Both Sexes,All Races (includes Hispanic),Ages < 20,All Stages,Observed Rates,2016,18.8116
Both Sexes,All Races (includes Hispanic),Ages < 20,All Stages,Observed Rates,2017,18.2272
Both Sexes,American Indian / Alaska Native (includes Hispanic),All Ages,All Stages,Observed Rates,2000,305.1643
Both Sexes,American Indian / Alaska Native (includes Hispanic),All Ages,All Stages,Observed Rates,2001,341.2115
Both Sexes,American Indian / Alaska Native (includes Hispanic),All Ages,All Stages,Observed Rates,2002,321.244
Both Sexes,American Indian / Alaska Native (includes Hispanic),All Ages,All Stages,Observed Rates,2003,335.0554
Both Sexes,American Indian / Alaska Native (includes Hispanic),All Ages,All Stages,Observed Rates,2004,346.472
Both Sexes,American Indian / Alaska Native (includes Hispanic),All Ages,All Stages,Observed Rates,2005,336.0039
Both Sexes,American Indian / Alaska Native (includes Hispanic),All Ages,All Stages,Observed Rates,2006,332.8923
Both Sexes,American Indian / Alaska Native (includes Hispanic),All Ages,All Stages,Observed Rates,2007,321.434
Both Sexes,American Indian / Alaska Native (includes Hispanic),All Ages,All Stages,Observed Rates,2008,327.5071
Both Sexes,American Indian / Alaska Native (includes Hispanic),All Ages,All Stages,Observed Rates,2009,325.7826
Both Sexes,American Indian / Alaska Native (includes Hispanic),All Ages,All Stages,Observed Rates,2010,336.6605
Both Sexes,American Indian / Alaska Native (includes Hispanic),All Ages,All Stages,Observed Rates,2011,321.9814
Both Sexes,American Indian / Alaska Native (includes Hispanic),All Ages,All Stages,Observed Rates,2012,305.8953
Both Sexes,American Indian / Alaska Native (includes Hispanic),All Ages,All Stages,Observed Rates,2013,317.7757
Both Sexes,American Indian / Alaska Native (includes Hispanic),All Ages,All Stages,Observed Rates,2014,308.5687
Both Sexes,American Indian / Alaska Native (includes Hispanic),All Ages,All Stages,Observed Rates,2015,321.1497
Both Sexes,American Indian / Alaska Native (includes Hispanic),All Ages,All Stages,Observed Rates,2016,314.257
Both Sexes,American Indian / Alaska Native (includes Hispanic),All Ages,All Stages,Observed Rates,2017,291.4608
Both Sexes,American Indian / Alaska Native (includes Hispanic),Ages < 50,All Stages,Observed Rates,2000,63.8599
Both Sexes,American Indian / Alaska Native (includes Hispanic),Ages < 50,All Stages,Observed Rates,2001,72.6153
Both Sexes,American Indian / Alaska Native (includes Hispanic),Ages < 50,All Stages,Observed Rates,2002,66.8327
Both Sexes,American Indian / Alaska Native (includes Hispanic),Ages < 50,All Stages,Observed Rates,2003,63.1267
Both Sexes,American Indian / Alaska Native (includes Hispanic),Ages < 50,All Stages,Observed Rates,2004,66.6665
Both Sexes,American Indian / Alaska Native (includes Hispanic),Ages < 50,All Stages,Observed Rates,2005,71.8331
Both Sexes,American Indian / Alaska Native (includes Hispanic),Ages < 50,All Stages,Observed Rates,2006,68.1558
Both Sexes,American Indian / Alaska Native (includes Hispanic),Ages < 50,All Stages,Observed Rates,2007,66.1711
Both Sexes,American Indian / Alaska Native (includes Hispanic),Ages < 50,All Stages,Observed Rates,2008,65.8059
Both Sexes,American Indian / Alaska Native (includes Hispanic),Ages < 50,All Stages,Observed Rates,2009,70.0091
Both Sexes,American Indian / Alaska Native (includes Hispanic),Ages < 50,All Stages,Observed Rates,2010,67.5173
Both Sexes,American Indian / Alaska Native (includes Hispanic),Ages < 50,All Stages,Observed Rates,2011,65.5324
Both Sexes,American Indian / Alaska Native (includes Hispanic),Ages < 50,All Stages,Observed Rates,2012,62.859
Both Sexes,American Indian / Alaska Native (includes Hispanic),Ages < 50,All Stages,Observed Rates,2013,65.3472
Both Sexes,American Indian / Alaska Native (includes Hispanic),Ages < 50,All Stages,Observed Rates,2014,67.64
Both Sexes,American Indian / Alaska Native (includes Hispanic),Ages < 50,All Stages,Observed Rates,2015,65.9038
Both Sexes,American Indian / Alaska Native (includes Hispanic),Ages < 50,All Stages,Observed Rates,2016,70.2182
Both Sexes,American Indian / Alaska Native (includes Hispanic),Ages < 50,All Stages,Observed Rates,2017,72.5596
Both Sexes,American Indian / Alaska Native (includes Hispanic),Ages 50-64,All Stages,Observed Rates,2000,549.461
Both Sexes,American Indian / Alaska Native (includes Hispanic),Ages 50-64,All Stages,Observed Rates,2001,603.2017
Both Sexes,American Indian / Alaska Native (includes Hispanic),Ages 50-64,All Stages,Observed Rates,2002,581.4782
Both Sexes,American Indian / Alaska Native (includes Hispanic),Ages 50-64,All Stages,Observed Rates,2003,575.701
Both Sexes,American Indian / Alaska Native (includes Hispanic),Ages 50-64,All Stages,Observed Rates,2004,624.971
Both Sexes,American Indian / Alaska Native (includes Hispanic),Ages 50-64,All Stages,Observed Rates,2005,548.3102
Both Sexes,American Indian / Alaska Native (includes Hispanic),Ages 50-64,All Stages,Observed Rates,2006,562.3123
Both Sexes,American Indian / Alaska Native (includes Hispanic),Ages 50-64,All Stages,Observed Rates,2007,532.8642
Both Sexes,American Indian / Alaska Native (includes Hispanic),Ages 50-64,All Stages,Observed Rates,2008,583.3211
Both Sexes,American Indian / Alaska Native (includes Hispanic),Ages 50-64,All Stages,Observed Rates,2009,574.6928
Both Sexes,American Indian / Alaska Native (includes Hispanic),Ages 50-64,All Stages,Observed Rates,2010,585.4075
Both Sexes,American Indian / Alaska Native (includes Hispanic),Ages 50-64,All Stages,Observed Rates,2011,548.3978
Both Sexes,American Indian / Alaska Native (includes Hispanic),Ages 50-64,All Stages,Observed Rates,2012,549.6526
Both Sexes,American Indian / Alaska Native (includes Hispanic),Ages 50-64,All Stages,Observed Rates,2013,551.288
Both Sexes,American Indian / Alaska Native (includes Hispanic),Ages 50-64,All Stages,Observed Rates,2014,572.7634
Both Sexes,American Indian / Alaska Native (includes Hispanic),Ages 50-64,All Stages,Observed Rates,2015,591.4463
Both Sexes,American Indian / Alaska Native (includes Hispanic),Ages 50-64,All Stages,Observed Rates,2016,598.5341
Both Sexes,American Indian / Alaska Native (includes Hispanic),Ages 50-64,All Stages,Observed Rates,2017,514.0719
Both Sexes,American Indian / Alaska Native (includes Hispanic),Ages 65+,All Stages,Observed Rates,2000,1396.9367
Both Sexes,American Indian / Alaska Native (includes Hispanic),Ages 65+,All Stages,Observed Rates,2001,1568.255
Both Sexes,American Indian / Alaska Native (includes Hispanic),Ages 65+,All Stages,Observed Rates,2002,1469.1526
Both Sexes,American Indian / Alaska Native (includes Hispanic),Ages 65+,All Stages,Observed Rates,2003,1606.508
Both Sexes,American Indian / Alaska Native (includes Hispanic),Ages 65+,All Stages,Observed Rates,2004,1618.1084
Both Sexes,American Indian / Alaska Native (includes Hispanic),Ages 65+,All Stages,Observed Rates,2005,1596.6633
Both Sexes,American Indian / Alaska Native (includes Hispanic),Ages 65+,All Stages,Observed Rates,2006,1576.4838
Both Sexes,American Indian / Alaska Native (includes Hispanic),Ages 65+,All Stages,Observed Rates,2007,1532.1285
Both Sexes,American Indian / Alaska Native (includes Hispanic),Ages 65+,All Stages,Observed Rates,2008,1522.4003
Both Sexes,American Indian / Alaska Native (includes Hispanic),Ages 65+,All Stages,Observed Rates,2009,1494.9271
Both Sexes,American Indian / Alaska Native (includes Hispanic),Ages 65+,All Stages,Observed Rates,2010,1582.5504
Both Sexes,American Indian / Alaska Native (includes Hispanic),Ages 65+,All Stages,Observed Rates,2011,1521.685
Both Sexes,American Indian / Alaska Native (includes Hispanic),Ages 65+,All Stages,Observed Rates,2012,1408.2241
Both Sexes,American Indian / Alaska Native (includes Hispanic),Ages 65+,All Stages,Observed Rates,2013,1486.0385
Both Sexes,American Indian / Alaska Native (includes Hispanic),Ages 65+,All Stages,Observed Rates,2014,1374.5793
Both Sexes,American Indian / Alaska Native (includes Hispanic),Ages 65+,All Stages,Observed Rates,2015,1461.896
Both Sexes,American Indian / Alaska Native (includes Hispanic),Ages 65+,All Stages,Observed Rates,2016,1374.2456
Both Sexes,American Indian / Alaska Native (includes Hispanic),Ages 65+,All Stages,Observed Rates,2017,1280.6894
Both Sexes,American Indian / Alaska Native (includes Hispanic),Ages <15,All Stages,Observed Rates,2000,8.9699
Both Sexes,American Indian / Alaska Native (includes Hispanic),Ages <15,All Stages,Observed Rates,2001,11.1115
Both Sexes,American Indian / Alaska Native (includes Hispanic),Ages <15,All Stages,Observed Rates,2002,16.4174
Both Sexes,American Indian / Alaska Native (includes Hispanic),Ages <15,All Stages,Observed Rates,2003,10.2635
Both Sexes,American Indian / Alaska Native (includes Hispanic),Ages <15,All Stages,Observed Rates,2004,13.3181
Both Sexes,American Indian / Alaska Native (includes Hispanic),Ages <15,All Stages,Observed Rates,2005,14.3155
Both Sexes,American Indian / Alaska Native (includes Hispanic),Ages <15,All Stages,Observed Rates,2006,10.5009
Both Sexes,American Indian / Alaska Native (includes Hispanic),Ages <15,All Stages,Observed Rates,2007,12.9438
Both Sexes,American Indian / Alaska Native (includes Hispanic),Ages <15,All Stages,Observed Rates,2008,9.9053
Both Sexes,American Indian / Alaska Native (includes Hispanic),Ages <15,All Stages,Observed Rates,2009,9.3969
Both Sexes,American Indian / Alaska Native (includes Hispanic),Ages <15,All Stages,Observed Rates,2010,7.6228
Both Sexes,American Indian / Alaska Native (includes Hispanic),Ages <15,All Stages,Observed Rates,2011,11.4162
Both Sexes,American Indian / Alaska Native (includes Hispanic),Ages <15,All Stages,Observed Rates,2012,10.7728
Both Sexes,American Indian / Alaska Native (includes Hispanic),Ages <15,All Stages,Observed Rates,2013,9.113
Both Sexes,American Indian / Alaska Native (includes Hispanic),Ages <15,All Stages,Observed Rates,2014,12.0077
Both Sexes,American Indian / Alaska Native (includes Hispanic),Ages <15,All Stages,Observed Rates,2015,9.6427
Both Sexes,American Indian / Alaska Native (includes Hispanic),Ages <15,All Stages,Observed Rates,2016,11.7618
Both Sexes,American Indian / Alaska Native (includes Hispanic),Ages <15,All Stages,Observed Rates,2017,9.5251
Both Sexes,American Indian / Alaska Native (includes Hispanic),Ages 15-39,All Stages,Observed Rates,2000,46.2677
Both Sexes,American Indian / Alaska Native (includes Hispanic),Ages 15-39,All Stages,Observed Rates,2001,53.8942
Both Sexes,American Indian / Alaska Native (includes Hispanic),Ages 15-39,All Stages,Observed Rates,2002,47.6838
Both Sexes,American Indian / Alaska Native (includes Hispanic),Ages 15-39,All Stages,Observed Rates,2003,45.4866
Both Sexes,American Indian / Alaska Native (includes Hispanic),Ages 15-39,All Stages,Observed Rates,2004,45.5227
Both Sexes,American Indian / Alaska Native (includes Hispanic),Ages 15-39,All Stages,Observed Rates,2005,48.7967
Both Sexes,American Indian / Alaska Native (includes Hispanic),Ages 15-39,All Stages,Observed Rates,2006,49.1335
Both Sexes,American Indian / Alaska Native (includes Hispanic),Ages 15-39,All Stages,Observed Rates,2007,49.7123
Both Sexes,American Indian / Alaska Native (includes Hispanic),Ages 15-39,All Stages,Observed Rates,2008,44.5545
Both Sexes,American Indian / Alaska Native (includes Hispanic),Ages 15-39,All Stages,Observed Rates,2009,47.6697
Both Sexes,American Indian / Alaska Native (includes Hispanic),Ages 15-39,All Stages,Observed Rates,2010,48.5751
Both Sexes,American Indian / Alaska Native (includes Hispanic),Ages 15-39,All Stages,Observed Rates,2011,47.782
Both Sexes,American Indian / Alaska Native (includes Hispanic),Ages 15-39,All Stages,Observed Rates,2012,49.1537
