"","Area","Violent_Crime_Rate","Murder_Rate","Rape_Revised_Rate","Rape_Legacy_Rate","Robbery_Rate","Aggravated_Assault_Rate","Property_Crime_Rate","Burglary_Rate","Larceny_Rate","Motor_Rate"
"85","     North Dakota","-2.4","-28.6","-12.5","-10.2","13.8","-0.9","-1.8","-1.6","-3.9","13.3"
"88","     South Dakota6","9.7","-18.2","1.8","3.3","26.5","10.1","2.4","1","0.5","25.8"
"91","South6, 7 ,8","3.5","9.1","4.2","5.6","1.3","4.2","-1.5","-4.7","-1.3","6.2"
"94","South Atlantic6, 7, 8 ","0.9","6.6","3.3","4.8","-0.6","1.1","-1.6","-6.3","-0.9","4.2"
"97","     Delaware","1.8","-9.7","-14.7","-14","9.6","0.8","3.1","4.7","1.2","27.4"
"100","     District of Columbia7","-3.8","-14.2","7.7","9.9","-7.1","-1.8","4","-20.5","8.6","-8.9"
"103","     Florida","-5.3","6.7","0.6","2.4","-4.6","-6.4","-2.9","-8.2","-2.4","6.1"
"106","     Georgia8","5.4","9.5","7.7","7.9","-2.7","9.5","-2","-7.1","-0.5","-1.3"
"109","     Maryland","0.8","-10.6","2.3","4.7","1.8","0.3","-3.6","-6.6","-1.7","-11.8"
"112","     North Carolina6","8.7","31.1","10","10.6","5.8","9.2","0.7","-3.6","1.4","14"
"115","     South Carolina","1.8","-10.1","-2.1","-0.3","2.2","2.6","-1.2","-5.6","-0.6","6.2"
"118","     Virginia","9.6","24.1","9.5","11.2","7.7","9.8","-0.9","-7.1","-1.1","19.4"
"121","     West Virginia","2.5","-4.7","-7.5","-5.1","-8","5.8","-3.1","-1.8","-4.8","11.9"
"124","East South Central6","5.9","12.4","-1.2","-0.8","3","7.7","-2.1","-6.4","-2.4","15.6"
"127","     Alabama","12.8","17","-5.9","-4.4","1.6","18.3","-1","-3.4","-1.6","13.4"
"130","     Kentucky","4.3","18.7","-0.2","0.8","1.7","7","-0.4","-7.5","-1","25.5"
"133","     Mississippi6","2.4","-5.9","10.3","6.3","3.7","0.1","-3.6","-6.8","-2.5","1.2"
"136","     Tennessee","3.1","16.3","-3.1","-2","4.2","3.3","-3.2","-7.9","-3.5","16"
"139","West South Central6","6.3","11.4","7.5","9.3","3.6","7","-0.9","-1.6","-1.4","5.4"
"142","     Arkansas","4.4","14.3","6.7","8.4","0.1","4.6","0.3","4","-2.9","22.9"
"145","     Louisiana","5.2","12.6","4.8","6.6","0.3","6.5","-2.1","-2.2","-2.8","6.2"
"148","     Oklahoma6","5.4","2.1","4.4","6.4","4.8","5.8","2.6","1.1","1.5","14.7"
"151","     Texas","6.9","12.2","8.5","10.3","4.4","7.8","-1.3","-2.8","-1.3","2.3"
"154","West6","6.3","8","5.3","6.8","4.5","7.2","-0.1","-3.9","-0.9","9.3"
"157","Mountain6","8.3","22.6","1.5","2.8","7.4","9.9","1.9","-2.1","0.8","17.4"
"160","     Arizona","16.5","24.2","5.8","8.1","10.9","20.1","-0.4","-0.7","-1.4","9.7"
"163","     Colorado","9.4","17.9","6.8","8.1","6.4","11.1","5.4","1.8","3.6","22.4"
"166","     Idaho","7.9","53.1","2.3","4.1","11.5","8.5","1.5","3.2","0.2","11"
"169","     Montana","5.3","-5.3","1","2.2","26.7","4.7","2.6","1.2","1.6","13.2"
"172","     Nevada","-0.9","25.8","2.7","4.9","0.8","-2.7","-1.4","-15.7","1.4","16.1"
"175","     New Mexico6","6.9","18.8","-8.2","-8.3","10.1","8.6","6.1","1.2","2.8","35.9"
"178","     Utah","3.8","26.3","-10.8","-10.5","16","5.6","0.3","1.8","-0.9","7.6"
"181","     Wyoming","10","25","19.9","21","0","8.7","2.8","0.5","1","35.1"
"184","Pacific6","5.3","2.1","8","9.6","3.6","5.9","-1","-4.7","-1.7","6.8"
"187","     Alaska","10.7","-11.9","17","16.8","11.7","9.3","19.6","15.4","16.5","49.4"
"190","     California","4.7","3.7","7","8.7","3.6","5.1","-2.2","-4.6","-3","3.4"
"193","     Hawaii","25.1","20.7","15.1","17","-8.4","47.4","-5.8","-11.6","-6.2","4"
"196","     Oregon6","1.4","2.7","4.3","5.7","5.3","-0.6","1.3","-9","0.9","23.3"
"199","     Washington6","7.4","-10.6","10.8","12.6","3.7","8.6","2.1","-3.8","1","19.7"
"202","Puerto Rico9 ","0.2","16.3","2.4","4.1","-21.4","27.9","-6.7","-9.8","-5.4","-7"
